id,brand,name,category,product_type,price,currency,tag_list,rating
418,marcelle,Marcelle Cream Blush,cream,blush,14.99,,['Canadian'],5.0
417,revlon,Revlon PhotoReady Cream Blush,cream,blush,13.49,,[],5.0
416,,DaLish Lip Cheek Balm,cream,blush,15.0,,"['Canadian', 'Natural']",2.3
415,physicians formula,Physicians Formula Super BB All-in-1 Beauty Balm Cheek & Lip in Berry Pink,cream,blush,8.99,,['Gluten Free'],4.0
414,maybelline,Maybelline Dream Bouncy Blush,cream,blush,11.99,,[],4.5
413,anna sui,Anna Sui Lip Colour Stain,lip_stain,lipstick,26.0,,[],
412,revlon,Revlon Colorstay Moisture Stain,lip_stain,lipstick,12.99,,[],4.0
411,revlon,Revlon ColorBurst Balm Stain,lip_stain,lipstick,11.49,,[],4.0
410,wet n wild,Wet n Wild Mega Slicks Lip Balm Stain,lip_stain,lipstick,3.99,,[],4.2
409,nyx,NYX Ombre Lip Duo,,lip_liner,15.99,,[],
408,marcelle,Marcelle Forever Sharp Waterproof Lip Liner,,lip_liner,11.99,,['Canadian'],
407,nyx,NYX Ombre Lip Duo ,,lip_liner,15.99,,[],
406,covergirl,CoverGirl Lip Perfection Lipliner ,,lip_liner,9.99,,[],
405,marcelle,Marcelle Waterproof Lip Definition Lip Liner,,lip_liner,10.99,,"['Canadian', 'Gluten Free']",
404,cargo cosmetics,Cargo Cosmetics Reverse Lip Liner,,lip_liner,19.0,,[],5.0
403,marcelle,Marcelle 2 in 1 Retractable Plumping Lip Liner ,,lip_liner,10.99,,"['Canadian', 'Gluten Free']",3.0
402,nyx,NYX Lip Primer,,lip_liner,9.99,,[],5.0
401,,Bonne Bell Lip Liner,,lip_liner,4.99,,[],4.5
400,l'oreal,L'Oreal Paris Colour Riche Lip Liner,,lip_liner,11.29,,[],
399,annabelle,Annabelle Stay Sharp Waterproof Lipliner,,lip_liner,9.99,,[],
398,maybelline,Maybelline Color Sensational Lipliner,,lip_liner,8.29,,[],3.5
397,l'oreal,L'Oreal Paris Infallible Never Fail Lip Liner,,lip_liner,11.99,,[],4.2
396,nyx,NYX Slim Lip Pencil ,,lip_liner,4.99,,[],5.0
395,e.l.f.,e.l.f. Studio Lip Primer & Plumper,,lip_liner,4.99,,['Vegan'],3.7
394,revlon,Revlon ColorStay Lip Liner,,lip_liner,11.49,,[],5.0
393,milani,Milani Color Statement Lipliner,,lip_liner,3.99,,[],4.7
392,sante,Sante Lip Duo Contour and Gloss Pencil,,lip_liner,20.49,,"['Vegan', 'Gluten Free', 'Natural']",4.4
391,marcelle,Marcelle Flawless Compact Foundation,cream,foundation,17.99,,['Canadian'],
390,revlon,Revlon PhotoReady Insta-Fix Makeup,cream,foundation,19.99,,[],
389,marcelle,Marcelle BB Cream-to-Powder Makeup,cream,foundation,22.99,,['Canadian'],5.0
388,physicians formula,Physicians Formula Super BB All-in-1 Beauty Balm Stick,cream,foundation,12.99,,['Gluten Free'],2.5
387,physicians formula,Physicians Formula Nude Wear Touch of Glow Stick in Nude Glow,cream,foundation,12.99,,['Gluten Free'],4.0
386,covergirl,CoverGirl & Olay Simply Ageless Foundation ,cream,foundation,15.99,,[],5.0
385,sante,Sante Soft Cream Foundation,cream,foundation,27.49,,['Natural'],3.8
384,covergirl,CoverGirl Ultimate Finish Liquid Powder Makeup ,cream,foundation,9.99,,[],5.0
383,revlon,Revlon Colorstay Whipped Creme Makeup,cream,foundation,19.99,,[],4.4
382,maybelline,Maybelline Dream Smooth Mousse Foundation,cream,foundation,14.79,,[],3.8
381,revlon,Revlon New Complexion One-Step Makeup,cream,foundation,18.29,,[],4.2
380,maybelline,Maybelline Fit Me Shine-Free Foundation Stick,cream,foundation,10.99,,[],4.7
379,maybelline,Maybelline Dream Matte Mousse Foundation,cream,foundation,14.79,,[],4.4
378,e.l.f.,e.l.f. Studio HD Mattifying Cream Foundation,cream,foundation,9.99,,['Vegan'],4.8
377,mineral fusion,Mineral Fusion Sheer Tint Foundation,cream,foundation,37.0,,"['Vegan', 'Gluten Free', 'Natural']",
376,pure anada,Pure Anada Loose mineral foundation,mineral,foundation,25.99,,"['Canadian', 'Natural']",
375,dr. hauschka,Dr. Hauschka Translucent Face Powder Compact,mineral,foundation,35.0,,[],
